system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20250217,2025-02-17,294.05527772615704,-0.02336904160702568,2.2467906901520851E-4,100242.72679152679,7.872493568844112E-7,2.429657028849622E7,300.7020771289361,1.5657601785195146E-4,0.34852053709565517,0.5097315488261148,0.2628164279918027,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250218,2025-02-18,294.475448932595,-0.021248632933832962,2.1992235021646217E-4,100255.09474951215,2.74255522484819E-6,2.2782743789758388E7,300.25608956944217,5.40015838161686E-4,0.3573452667456892,0.28408304162431847,0.2651893603341741,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250219,2025-02-19,294.13241470397435,-0.021426903408355246,2.1105987787934538E-4,100136.12775307512,4.213675453565717E-7,2.2870101871979803E7,300.3641783157956,8.469731894547099E-5,0.4323343553713901,0.03681150533385197,0.2642039590077355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250220,2025-02-20,294.75793426652154,-0.023052351261105216,2.0447751695912883E-4,100177.71919742973,3.876155823350941E-7,2.3958250966462314E7,301.3003156991917,8.064963850172559E-5,0.4551108012134632,0.12460054569138919,0.26299835360527385,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250221,2025-02-21,295.12808311293657,-0.022656996879193318,2.0175756335129516E-4,100273.87908456453,3.9022234515339045E-6,2.339320154453661E7,301.3051982207402,7.933083451795835E-4,0.45626520110317287,0.5790962677962621,0.26407715299551077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222,2025-02-22,295.21943325611784,-0.020972627239604746,1.9831447621953218E-4,100369.99336415279,5.9397140866447095E-6,2.1783387924630363E7,300.80394045511883,0.0011833799909565191,0.470788403820685,0.10293779845764495,0.2725713639065028,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250223,2025-02-23,294.57712021360095,-0.024267244005284926,1.8944896239044432E-4,100282.33830747478,2.660233429352643E-6,2.3187017155787963E7,301.49704342115416,5.3482738646109E-4,0.24880606326536428,-0.08290266410306268,0.27310617882294896,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250224,2025-02-24,293.43894907826063,-0.026981368433889655,1.8462203402747933E-4,100256.40377689862,3.5685406150776605E-6,2.506281170357014E7,301.86048051912303,7.36383788345756E-4,0.39479727778874385,0.30432468568896115,0.2723682722029083,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250225,2025-02-25,292.73825019981336,-0.026946949909900954,1.755764380801339E-4,100309.39116041313,7.113383386352628E-8,2.399310549909845E7,301.77623796698015,1.5333569634735317E-5,0.3191899346508563,-0.05708979173181777,0.2727654711932771,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250226,2025-02-26,293.77212842076233,-0.0237566005926226,1.7036704478863986E-4,100222.28366299803,1.935377647160538E-7,2.0670276989542015E7,302.1501629759821,4.082337735825891E-5,0.14942882605248994,-0.011705835789266516,0.2691897984837265,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250227,2025-02-27,292.8663019296542,-0.02628404354113041,1.6513282249776027E-4,100120.1925825506,9.417206081207421E-8,2.26421982614497E7,302.16954519072607,2.0402786223699164E-5,0.15011728582280176,-0.21185997785147975,0.2663186611299804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250228,2025-02-28,293.9274050023267,-0.024522062956620502,1.623953507559591E-4,100034.97368370085,2.2967482705087042E-6,2.1736707995311935E7,302.55975066390306,4.6593282021841517E-4,0.15007145213656653,0.13756723583912475,0.2659260574076695,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250301,2025-03-01,295.39470195002184,-0.020794943763628965,1.565519622246625E-4,99962.26142181347,9.962955064563772E-7,1.9184957448250994E7,302.45575947262284,2.1603849931095125E-4,0.055433447565334824,0.3112498016394107,0.2662292238123817,"{""type"":""MultiPoint"",""coordinates"":[]}"
