system:index,LST_Celsius,date,.geo
2019_05_09,31.847300206596003,2019-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_17,29.978666936275147,2019-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_25,29.008444736931096,2019-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_02,28.65948568038641,2019-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_10,27.227019025694915,2019-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_18,26.438660808626366,2019-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_26,29.167875168519856,2019-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_04,27.413796999872886,2019-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_12,28.007884280006238,2019-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_20,26.723465909090976,2019-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_28,28.508157202911832,2019-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_05,27.400010697267305,2019-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_13,27.334928327799844,2019-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_21,,2019-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_29,28.657017066498952,2019-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_06,28.109743977129824,2019-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_14,28.24493543013739,2019-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_22,29.44797919101927,2019-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_30,29.565786535772645,2019-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_10_08,29.58259187722598,2019-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_10_16,30.728193965017454,2019-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_10_24,28.640503505097797,2019-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_01,30.369080320978412,2019-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_09,30.451305549081553,2019-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_17,29.706094643977792,2019-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_25,30.014808336034662,2019-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_03,30.90416108514387,2019-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_11,29.501113088956743,2019-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_19,31.126856790641114,2019-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_27,30.733791086589406,2019-12-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_01,31.291783187796966,2020-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_09,31.247338940596592,2020-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_17,32.51152009541852,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_25,31.831604583000512,2020-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_02,31.402998391798008,2020-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_10,32.915200634704206,2020-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_18,33.997342144375125,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
